ay 	Aymara 	ltr 	Aymar 	en:Aymara language 	
ik 	Inupiak 	ltr 	Iñupiak 	en:Inupiak language 	
ilo 	Ilokano 	ltr 	Ilokano 	en:Ilokano language 	
inh 	Ingush 	ltr 	ГӀалгӀай 	en:Ingush language 	
io 	Ido 	ltr 	Ido 	en:Ido language 	
is 	Icelandic 	ltr 	Íslenska 	en:Icelandic language 	
it 	Italian 	ltr 	Italiano 	it:Lingua italiana 	
iu 	Inuktitut 	ltr 	ᐃᓄᒃᑎᑐᑦ 	en:Inuktitut language 	
ja 	Japanese 	ltr 	日本語 	ja:日本語 	
jbo 	Lojban 	ltr 	Lojban 	en:Lojban language 	
jv 	Javanese 	ltr 	Basa Jawa 	en:Javanese language 	
ka 	Georgian 	ltr 	ქართული 	en:Georgian language 	
kg 	Kongo 	ltr 	KiKongo 	en:Kongo language 	
ki 	Kikuyu 	ltr 	Gĩkũyũ 	en:Kikuyu language 	
kj 	Kuanyama 	ltr 	Kuanyama 	en:Kuanyama language 	
kk 	Kazakh 	ltr 	Қазақша 	en:Kazakh language 	
kl 	Greenlandic 	ltr 	Kalaallisut 	en:Greenlandic language 	
km 	Cambodian 	ltr 	ភាសាខ្មែរ 	en:Khmer language 	
kn 	Kannada 	ltr 	ಕನ್ನಡ 	en:Kannada language 	
khw 	Khowar 	rtl 	کھوار 	en:Khowar language 	
ko 	Korean 	ltr 	한국어 	en:Korean language 	
kr 	Kanuri 	ltr 	Kanuri 	en:Kanuri language 	
ks 	Kashmiri 	rtl 	कश्मीरी / كشميري 	en:Kashmiri language 	
ksh 	Ripuarian 	ltr 	Ripoarisch 	en:Ripuarian language 	
ku 	Kurdish (Kurmanji) 	ltr 	Kurdî 	en:Kurmanji 	
kv 	Komi 	ltr 	Коми 	en:Komi language 	
kw 	Cornish 	ltr 	Kernewek 	en:Cornish language 	
ky 	Kirghiz 	ltr 	Kırgızca / Кыргызча 	en:Kirghiz language 	
la 	Latin 	ltr 	Latina 	en:Latin language 	
lad 	Ladino / Judeo-Spanish 	ltr 	Dzhudezmo / Djudeo-Espanyol 	en:Ladino language 	
lan 	Lango 	ltr 	Leb Lango / Luo 	en:Lango 	
lb 	Luxembourgish 	ltr 	Lëtzebuergesch 	en:Luxembourgish language 	
lg 	Ganda 	ltr 	Luganda 	en:Luganda language 	
li 	Limburgian 	ltr 	Limburgs 	en:Limburgian language 	
lij 	Ligurian 	ltr 	Líguru 	en:Ligurian language 	
lmo 	Lombard 	ltr 	Lumbaart 	en:Lombard language 	
ln 	Lingala 	ltr 	Lingála 	en:Lingala language 	
lo 	Laotian 	ltr 	ລາວ / Pha xa lao 	en:Lao language 	
lzz 	Laz 	ltr 	Lazuri / ლაზური 	Laz language 	
lt 	Lithuanian 	ltr 	Lietuvių 	en:Lithuanian language 	
lv 	Latvian 	ltr 	Latviešu 	en:Latvian language 	
map-bms 	Banyumasan 	ltr 	Basa Banyumasan 	en:Banyumasan language 	!no ISO 639 language code
mg 	Malagasy 	ltr 	Malagasy 	en:Malagasy language 	
man 	Mandarin 	ltr 	官話/官话 	en:Mandarin language 	
mh 	Marshallese 	ltr 	Kajin Majel / Ebon 	en:Marshallese language 	
mi 	Maori 	ltr 	Māori 	en:Maori language 	
min 	Minangkabau 	ltr 	Minangkabau 	en:Minangkabau language 	
mk 	Macedonian 	ltr 	Македонски 	en:Macedonian language 	
ml 	Malayalam 	ltr 	മലയാളം 	en:Malayalam language 	
mn 	Mongolian 	ltr 	Монгол 	en:Mongolian language 	
mo 	Moldovan 	ltr 	Moldovenească 	en:Moldovan language 	
mr 	Marathi 	ltr 	मराठी 	en:Marathi language 	
mrh 	Mara 	ltr 	Mara 	en:Mara language 	
ms 	Malay 	ltr 	Bahasa Melayu 	en:Malay language 	
mt 	Maltese 	ltr 	bil-Malti 	en:Maltese language 	
mus 	Creek / Muskogee 	ltr 	Mvskoke 	en:Muscogee language 	
mwl 	Mirandese 	ltr 	Mirandés 	mwl:Lhéngua mirandesa 	ISO 639-3: mwl
my 	Burmese 	ltr 	Myanmasa 	en:Burmese language 	
na 	Nauruan 	ltr 	Dorerin Naoero 	en:Nauruan language 	
nah 	Nahuatl 	ltr 	Nahuatl 	en:Nahuatl language 	
nap 	Neapolitan 	ltr 	Nnapulitano 	en:Neapolitan language 	
nd 	North Ndebele 	ltr 	Sindebele 	en:Northern Ndebele language 	
nds 	Low German / Low Saxon 	ltr 	Plattdüütsch 	en:Low Saxon language 	
nds-nl 	Dutch Low Saxon 	ltr 	Nedersaksisch 	en:Dutch Low Saxon language 	no code for that language, but several codes for constituent languages
ne 	Nepali 	ltr 	नेपाली 	en:Nepali language 	
new 	Newar 	ltr 	नेपालभाषा / Newah Bhaye 	en:Nepal Bhasa language 	
ng 	Ndonga 	ltr 	Oshiwambo 	en:Ndonga language 	
nl 	Dutch 	ltr 	Nederlands 	nl:Nederlands 	
nn 	Norwegian Nynorsk 	ltr 	Norsk (nynorsk) 	en:Nynorsk language 	
no 	Norwegian 	ltr 	Norsk (bokmål / riksmål) 	no:Norsk 	
nr 	South Ndebele 	ltr 	isiNdebele 	en:Southern Ndebele language 	
nso 	Northern Sotho 	ltr 	Sesotho sa Leboa / Sepedi 	en:Northern Sotho language 	
nrm 	Norman 	ltr 	Nouormand / Normaund 	en:Norman language 	Non-ISO 639 code (nrm is a language in East Malaysia)
nv 	Navajo 	ltr 	Diné bizaad 	en:Navajo language 	
ny 	Chichewa 	ltr 	Chi-Chewa 	en:Chichewa language 	
oc 	Occitan 	ltr 	Occitan 	en:Occitan language 	
oj 	Ojibwa 	ltr 	ᐊᓂᔑᓈᐯᒧᐎᓐ / Anishinaabemowin 	en:Ojibwe language 	
om 	Oromo 	ltr 	Oromoo 	en:Oromo language 	
or 	Oriya 	ltr 	ଓଡ଼ିଆ 	en:Oriya language 	
os 	Ossetian / Ossetic 	ltr 	Иронау 	en:Ossetian language 	
pa 	Panjabi / Punjabi 	ltr 	ਪੰਜਾਬੀ / पंजाबी / پنجابي 	en:Punjabi language 	
pag 	Pangasinan 	ltr 	Pangasinan 	en:Pangasinan language 	
pam 	Kapampangan 	ltr 	Kapampangan 	en:Kapampangan language 	
pap 	Papiamentu 	ltr 	Papiamentu 	en:Papiamentu language 	
pdc 	Pennsylvania German 	ltr 	Deitsch 	en:Pennsylvania German language 	
pi 	Pali 	ltr 	Pāli / पाऴि 	en:Pali language 	
pih 	Norfolk 	ltr 	Norfuk 	en:Norfolk language 	
pl 	Polish 	ltr 	Polski 	pl:Język polski 	
pms 	Piedmontese 	ltr 	Piemontèis 	en:Piedmontese language 	
ps 	Pashto 	rtl 	پښتو 	en:Pashto language 	
pt 	Portuguese 	ltr 	Português 	pt:Língua portuguesa 	
qu 	Quechua 	ltr 	Runa Simi 	en:Quechua language 	
rm 	Raeto Romance 	ltr 	Rumantsch 	en:Romansh language 	
rmy 	Romani 	ltr 	Romani / रोमानी 	en:Romani language 	
rn 	Kirundi 	ltr 	Kirundi 	en:Kirundi language 	
ro 	Romanian 	ltr 	Română 	ro:Limba română 	
roa-rup 	Aromanian 	ltr 	Armâneashti 	en:Aromanian language 	ISO 639-2: rup
ru 	Russian 	ltr 	Русский 	ru:Русский язык 	
rw 	Rwandi 	ltr 	Kinyarwandi 	en:Kinyarwanda language 	
sa 	Sanskrit 	ltr 	संस्कृतम् 	en:Sanskrit language 	
sc 	Sardinian 	ltr 	Sardu 	en:Sardinian language 	
scn 	Sicilian 	ltr 	Sicilianu 	en:Sicilian language 	
sco 	Scots 	ltr 	Scots 	en:Scots language 	
sd 	Sindhi 	ltr 	सिनधि 	en:Sindhi language 	
se 	Northern Sami 	ltr 	Davvisámegiella 	en:Northern Sami language 	
sg 	Sango 	ltr 	Sängö 	en:Sango language 	
sh 	Serbo-Croatian 	ltr 	Srpskohrvatski / Српскохрватски 	en:Serbo-Croatian language 	deprecated
si 	Sinhalese 	ltr 	සිංහල 	en:Sinhalese language 	
sk 	Slovak 	ltr 	Slovenčina 	sk:Slovenčina 	
sl 	Slovenian 	ltr 	Slovenščina 	sl:Slovenščina 	
sm 	Samoan 	ltr 	Gagana Samoa 	en:Samoan language 	
sn 	Shona 	ltr 	chiShona 	en:Shona language 	
so 	Somalia 	ltr 	Soomaaliga 	en:Somali language 	
sq 	Albanian 	ltr 	Shqip 	en:Albanian language 	
sr 	Serbian 	ltr 	Српски 	sr:Српски језик 	
ss 	Swati 	ltr 	SiSwati 	en:Swati language 	
st 	Southern Sotho 	ltr 	Sesotho 	en:Sesotho language 	
su 	Sundanese 	ltr 	Basa Sunda 	en:Sundanese language 	
sv 	Swedish 	ltr 	Svenska 	sv:Svenska 	
sw 	Swahili 	ltr 	Kiswahili 	en:Swahili language 	
ta 	Tamil 	ltr 	தமிழ் 	en:Tamil language 	
te 	Telugu 	ltr 	తెలుగు 	en:Telugu language 	
tet 	Tetum 	ltr 	Tetun 	en:Tetum language 	
tg 	Tajik 	ltr 	Тоҷикӣ 	en:Tajik language 	
th 	Thai 	ltr 	ไทย / Phasa Thai 	en:Thai language 	
ti 	Tigrinya 	ltr 	ትግርኛ 	en:Tigrinya language 	
tk 	Turkmen 	ltr 	Туркмен / تركمن 	en:Turkmen language 	
tl 	Tagalog 	ltr 	Tagalog 	en:Tagalog language 	
tlh 	Klingon 	ltr 	tlhIngan-Hol 	en:Klingon language 	
tn 	Tswana 	ltr 	Setswana 	en:Tswana language 	
to 	Tonga 	ltr 	Lea Faka-Tonga 	en:Tongan language 	
tpi 	Tok Pisin 	ltr 	Tok Pisin 	en:Tok Pisin language 	
tr 	Turkish 	ltr 	Türkçe 	en:Turkish language 	
ts 	Tsonga 	ltr 	Xitsonga 	en:Tsonga language 	
tt 	Tatar 	ltr 	Tatarça 	en:Tatar language 	
tum 	Tumbuka 	ltr 	chiTumbuka 	en:Tumbuka language 	
tw 	Twi 	ltr 	Twi 	en:Twi language 	
ty 	Tahitian 	ltr 	Reo Mā`ohi 	en:Tahitian language 	
udm 	Udmurt 	ltr 	Удмурт кыл 	en:Udmurt language 	
ug 	Uyghur 	ltr 	Uyƣurqə / ئۇيغۇرچە 	en:Uyghur language 	
uk 	Ukrainian 	ltr 	Українська 	en:Ukrainian language 	
ur 	Urdu 	rtl 	اردو 	en:Urdu language 	
uz 	Uzbek 	ltr 	Ўзбек 	en:Uzbek language 	
uz_AF 	Uzbeki Afghanistan 	rtl 	اوزبیکی 	en:Uzbek Afghan language 	
ve 	Venda 	ltr 	Tshivenḓa 	en:Venda language 	
vi 	Vietnamese 	ltr 	Việtnam 	en:Vietnamese language 	
vec 	Venetian 	ltr 	Vèneto 	en:Venetian language 	
vls 	West Flemish 	ltr 	West-Vlaoms 	en:West Flemish language 	
vo 	Volapük 	ltr 	Volapük 	en:Volapük language 	
wa 	Walloon 	ltr 	Walon 	en:Walloon language 	
war 	Waray / Samar-Leyte Visayan 	ltr 	Winaray / Binisaya Lineyte-Samarnon 	en:Waray language 	
wo 	Wolof 	ltr 	Wollof 	en:Wolof language 	
xal 	Kalmyk 	ltr 	Хальмг 	en:Kalmyk language 	
xh 	Xhosa 	ltr 	isiXhosa 	en:Xhosan language 	
xmf 	Megrelian 	ltr 	მარგალური 	Megrelian language 	
yi 	Yiddish 	rtl 	ייִדיש 	en:Yiddish language 	
yo 	Yoruba 	ltr 	Yorùbá 	en:Yoruba language 	
za 	Zhuang 	ltr 	Cuengh / Tôô / 壮语 	en:Zhuang language 	
zh 	Chinese 	ltr 	中文 	zh:汉语 	
zh-classical 	Classical Chinese 	ltr 	文言 	zh:文言文 	ISO 639-3: lzh
zh-min-nan 	Minnan 	ltr 	Bân-lâm-gú 	en:Min Nan language 	ISO 639-3: nan
zh-yue 	Cantonese 	ltr 	粵語 / 粤语 	zh-yue:粵語 	ISO 639-3: yue
zu  
hyw  
azb 
be-tarask  
ary 
mai 
arz 
pnb 
szl 
shi 
kab 
tyv 
wuu 
bjn 
frr 
eml 
sah 
myv 
lez 
mrj 
gag 
lrc 
aaa 			Ghotuo 	Individual 	Living
aab 			Alumu-Tesu 	Individual 	Living
aac 			Ari 	Individual 	Living
aad 			Amal 	Individual 	Living
aae 			Arbëreshë Albanian 	Individual 	Living
aaf 			Aranadan 	Individual 	Living
aag 			Ambrak 	Individual 	Living
aah 			Abu' Arapesh 	Individual 	Living
aai 			Arifama-Miniafia 	Individual 	Living
aak 			Ankave 	Individual 	Living
aal 			Afade 	Individual 	Living
aan 			Anambé 	Individual 	Living
aao 			Algerian Saharan Arabic 	Individual 	Living
aap 			Pará Arára 	Individual 	Living
aaq 			Eastern Abnaki 	Individual 	Extinct
aar 	
aar 	aa 	Afar 	Individual 	Living
aas 			Aasáx 	Individual 	Living
aat 			Arvanitika Albanian 	Individual 	Living
aau 			Abau 	Individual 	Living
aav 		Austro-Asiatic languages 	Collective 	Genetic
aaw 			Solong 	Individual 	Living
aax 			Mandobo Atas 	Individual 	Living
aaz 			Amarasi 	Individual 	Living
aba 			Abé 	Individual 	Living
abb 			Bankon 	Individual 	Living
abc 			Ambala Ayta 	Individual 	Living
abd 			Manide 	Individual 	Living
abe 			Western Abnaki 	Individual 	Living
abf 			Abai Sungai 	Individual 	Living
abg 			Abaga 	Individual 	Living
abh 			Tajiki Arabic 	Individual 	Living
abi 			Abidji 	Individual 	Living
abj 			Aka-Bea 	Individual 	Extinct
abk 	abk 	ab 	Abkhazian 	Individual 	Living
abl 			Lampung Nyo 	Individual 	Living
abm 			Abanyom 	Individual 	Living
abn 			Abua 	Individual 	Living
abo 			Abon 	Individual 	Living
abp 			Abellen Ayta 	Individual 	Living
abq 			Abaza 	Individual 	Living
abr 			Abron 	Individual 	Living
abs 			Ambonese Malay 	Individual 	Living
abt 			Ambulas 	Individual 	Living
abu 			Abure 	Individual 	Living
abv 			Baharna Arabic 	Individual 	Living
abw 			Pal 	Individual 	Living
abx 			Inabaknon 	Individual 	Living
aby 			Aneme Wake 	Individual 	Living
abz 			Abui 	Individual 	Living
aca 			Achagua 	Individual 	Living
acb 			Áncá 	Individual 	Living
acd 			Gikyode 	Individual 	Living
ace 	ace 		Achinese 	Individual 	Living
acf 			Saint Lucian Creole French 	Individual 	Living
ach 	ach 		Acoli 	Individual 	Living
aci 			Aka-Cari 	Individual 	Extinct
ack 			Aka-Kora 	Individual 	Extinct
acl 			Akar-Bale 	Individual 	Extinct
acm 			Mesopotamian Arabic 	Individual 	Living
acn 			Achang 	Individual 	Living
acp 			Eastern Acipa 	Individual 	Living
acq 			Ta'izzi-Adeni Arabic 	Individual 	Living
acr 			Achi 	Individual 	Living
acs 			Acroá 	Individual 	Extinct
act 			Achterhoeks 	Individual 	Living
acu 			Achuar-Shiwiar 	Individual 	Living
acv 			Achumawi 	Individual 	Living
acw 			Hijazi Arabic 	Individual 	Living
acx 			Omani Arabic 	Individual 	Living
acy 			Cypriot Arabic 	Individual 	Living
acz 			Acheron 	Individual 	Living
ada 	ada 		Adangme 	Individual 	Living
adb 			Adabe, Atauran 	Individual 	Living
add 			Dzodinka, Lidzonka 	Individual 	Living
ade 			Adele 	Individual 	Living
adf 			Dhofari Arabic 	Individual 	Living
adg 			Andegerebinha 	Individual 	Living
adh 			Adhola 	Individual 	Living
adi 			Adi 	Individual 	Living
adj 			Adioukrou 	Individual 	Living
adl 			Galo 	Individual 	Living
adn 			Adang 	Individual 	Living
ado 			Abu 	Individual 	Living
adq 			Adangbe 	Individual 	Living
adr 			Adonara 	Individual 	Living
ads 			Adamorobe Sign Language 	Individual 	Living
adt 			Adnyamathanha 	Individual 	Living
adu 			Aduge 	Individual 	Living
adw 			Amundava 	Individual 	Living
adx 			Amdo Tibetan 	Individual 	Living
ady 	ady 		Adygei, Adyghe 	Individual 	Living
adz 			Adzera 	Individual 	Living
aea 			Areba 	Individual 	Extinct
aeb 			Tunisian Arabic 	Individual 	Living
aec 			Saidi Arabic 	Individual 	Living
aed 			Argentine Sign Language 	Individual 	Living
aee 			Northeast Pashai, Northeast Pashayi 	Individual 	Living
aek 			Haeke 	Individual 	Living
ael 			Ambele 	Individual 	Living
aem 			Arem 	Individual 	Living
aen 			Armenian Sign Language 	Individual 	Living
aeq 			Aer 	Individual 	Living
aer 			Eastern Arrernte 	Individual 	Living
aes 			Alsea 	Individual 	Extinct
aeu 			Akeu 	Individual 	Living
aew 			Ambakich 	Individual 	Living
aey 			Amele 	Individual 	Living
aez 			Aeka 	Individual 	Living
	afa 		Afro-Asiatic languages 	Collective 	Genetic
afb 			Gulf Arabic 	Individual 	Living
afd 			Andai 	Individual 	Living
afe 			Putukwam 	Individual 	Living
afg 			Afghan Sign Language 	Individual 	Living
afh 	afh 		Afrihili 	Individual 	Constructed
afi 			Akrukay, Chini 	Individual 	Living
afk 			Nanubae 	Individual 	Living
afn 			Defaka 	Individual 	Living
afo 			Eloyi 	Individual 	Living
afp 			Tapei 	Individual 	Living
afr 	afr 	af 	Afrikaans 	Individual 	Living
afs 			Afro-Seminole Creole 	Individual 	Living
aft 			Afitti 	Individual 	Living
afu 			Awutu 	Individual 	Living
afz 			Obokuitai 	Individual 	Living
aga 			Aguano 	Individual 	Extinct
agb 			Legbo 	Individual 	Living
agc 			Agatu 	Individual 	Living
agd 			Agarabi 	Individual 	Living
age 			Angal 	Individual 	Living
agf 			Arguni 	Individual 	Living
agg 			Angor 	Individual 	Living
agh 			Ngelima 	Individual 	Living
agi 			Agariya 	Individual 	Living
agj 			Argobba 	Individual 	Living
agk 			Isarog Agta 	Individual 	Living
agl 			Fembe 	Individual 	Living
agm 			Angaataha 	Individual 	Living
agn 			Agutaynen 	Individual 	Living
ago 			Tainae 	Individual 	Living
agq 			Aghem 	Individual 	Living
agr 			Aguaruna 	Individual 	Living
ags 			Esimbi 	Individual 	Living
agt 			Central Cagayan Agta 	Individual 	Living
agu 			Aguacateco 	Individual 	Living
agv 			Remontado Dumagat 	Individual 	Living
agw 			Kahua 	Individual 	Living
agx 			Aghul 	Individual 	Living
agy 			Southern Alta 	Individual 	Living
agz 			Mt. Iriga Agta 	Individual 	Living
aha 			Ahanta 	Individual 	Living
ahb 			Axamb 	Individual 	Living
ahg 			Qimant 	Individual 	Living
ahh 			Aghu 	Individual 	Living
ahi 			Tiagbamrin Aizi 	Individual 	Living
ahk 			Akha 	Individual 	Living
ahl 			Igo 	Individual 	Living
ahm 			Mobumrin Aizi 	Individual 	Living
ahn 			Àhàn 	Individual 	Living
aho 			Ahom 	Individual 	Extinct
ahp 			Aproumu Aizi 	Individual 	Living
ahr 			Ahirani 	Individual 	Living
ahs 			Ashe 	Individual 	Living
aht 			Ahtena 	Individual 	Living
aia 			Arosi 	Individual 	Living
aib 			Ainu (China) 	Individual 	Living
aic 			Ainbai 	Individual 	Living
aid 			Alngith 	Individual 	Extinct
aie 			Amara 	Individual 	Living
aif 			Agi 	Individual 	Living
aih 			Ai-Cham 	Individual 	Living
aii 			Assyrian Neo-Aramaic 	Individual 	Living
aij 			Lishanid Noshan 	Individual 	Living
aik 			Ake 	Individual 	Living
ail 			Aimele 	Individual 	Living
ain 	ain 		Ainu (Japan) 	Individual 	Living
aio 			Aiton 	Individual 	Living
aip 			Burumakok 	Individual 	Living
aiq 			Aimaq 	Individual 	Living
air 			Airoran 	Individual 	Living
ait 			Arikem 	Individual 	Extinct
aiw 			Aari 	Individual 	Living
aix 			Aighon 	Individual 	Living
aiy 			Ali 	Individual 	Living
aja 			Aja (South Sudan), Aja (Sudan) 	Individual 	Living
ajg 			Aja (Benin) 	Individual 	Living
aji 			Ajië 	Individual 	Living
ajn 			Andajin 	Individual 	Living
ajp 			South Levantine Arabic 	Individual 	Living
ajt 			Judeo-Tunisian Arabic 	Individual 	Living
aju 			Judeo-Moroccan Arabic 	Individual 	Living
ajw 			Ajawa 	Individual 	Extinct
ajz 			Amri Karbi 	Individual 	Living
aka 	aka 	ak 	Akan 	Macrolanguage 	Living
akb 			Batak Angkola 	Individual 	Living
akc 			Mpur 	Individual 	Living
akd 			Ukpet-Ehom 	Individual 	Living
ake 			Akawaio 	Individual 	Living
akf 			Akpa 	Individual 	Living
akg 			Anakalangu 	Individual 	Living
akh 			Angal Heneng 	Individual 	Living
aki 			Aiome 	Individual 	Living
akj 			Aka-Jeru 	Individual 	Extinct
akk 	akk 		Akkadian 	Individual 	Ancient
akl 			Aklanon 	Individual 	Living
akm 			Aka-Bo 	Individual 	Extinct
ako 			Akurio 	Individual 	Living
akp 			Siwu 	Individual 	Living
akq 			Ak 	Individual 	Living
akr 			Araki 	Individual 	Living
aks 			Akaselem 	Individual 	Living
akt 			Akolet 	Individual 	Living
aku 			Akum 	Individual 	Living
akv 			Akhvakh 	Individual 	Living
akw 			Akwa 	Individual 	Living
akx 			Aka-Kede 	Individual 	Extinct
aky 			Aka-Kol 	Individual 	Extinct
akz 			Alabama 	Individual 	Living
ala 			Alago 	Individual 	Living
sqi 	639-2/T: sqi
639-2/B: alb 	sq 	Albanian 	Macrolanguage 	Living
alc 			Qawasqar 	Individual 	Living
ald 			Alladian 	Individual 	Living
ale 	ale 		Aleut 	Individual 	Living
alf 			Alege 	Individual 	Living
	alg 		Algonquian languages 	Collective 	Genetic
alh 			Alawa 	Individual 	Living
ali 			Amaimon 	Individual 	Living
alj 			Alangan 	Individual 	Living
alk 			Alak 	Individual 	Living
all 			Allar 	Individual 	Living
alm 			Amblong 	Individual 	Living
aln 			Gheg Albanian 	Individual 	Living
alo 			Larike-Wakasihu 	Individual 	Living
alp 			Alune 	Individual 	Living
alq 			Algonquin 	Individual 	Living
